FeatureID	Kingdom   Phylum  Class   Order   Family  Genus   Species
a77559923d05c3be573fd2f5db5271c5	D_0__Bacteria	D_1__Chlamydiae	D_2__Chlamydiae	D_3__Chlamydiales	D_4__Chlamydiaceae	D_5__uncultured	D_6__metagenome
b716ede555a4c21bcee733f299302ce7	D_0__Bacteria	D_1__Planctomycetes	D_2__Planctomycetacia	D_3__Pirellulales	D_4__Pirellulaceae	D_5__Bythopirellula	D_6__uncultured
b746f2bab3a8b46eb6cbd5346f031e4a	D_0__Bacteria	D_1__Cyanobacteria	D_2__Oxyphotobacteria	D_3__Chloroplast    unassigned      unassigned      unassigned
c3b24a46c1b7f021e4cd463accc12479	D_0__Bacteria	D_1__Firmicutes	D_2__Clostridia	D_3__Clostridiales	D_4__Ruminococcaceae	D_5__uncultured   unassigned
c85b159ab22f1c9b2f2d3be7c71bb8a0	D_0__Bacteria	D_1__Planctomycetes	D_2__Planctomycetacia	D_3__Planctomycetales	D_4__Rubinisphaeraceae	D_5__Fuerstia   unassigned
d293d72c3a331ab8844b9c08cf64590d	D_0__Bacteria	D_1__Planctomycetes	D_2__OM190	D_3__uncultured    unassigned      unassigned      unassigned
d659f1200d068f41d0064485255d2436	D_0__Bacteria	D_1__Chlamydiae	D_2__Chlamydiae	D_3__Chlamydiales	D_4__cvE6    unassigned      unassigned
d8ed755b45e3730e210d11d9da600fa6	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhizobiales	D_4__Rhizobiaceae	D_5__Cohaesibacter	D_6__uncultured
e205f22610a4e6910b93b66d5bdfead5	D_0__Bacteria	D_1__Cyanobacteria	D_2__Oxyphotobacteria	D_3__Eurycoccales	D_4__Eurycoccales    unassigned      unassigned
e54160be694e854e40151570102abf74	D_0__Bacteria	D_1__Proteobacteria	D_2__Deltaproteobacteria	D_3__NB1-j	D_4__uncultured    unassigned      unassigned
e9d4f273284ac80025150fe7eba3e5f8	D_0__Bacteria	D_1__Cyanobacteria	D_2__Oxyphotobacteria	D_3__Chloroplast	D_4__Eimeria    unassigned      unassigned
e9ddb273a06aa8192e89369ec704059e	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria    unassigned      unassigned      unassigned      unassigned
ebbe3d878d4155d7cd1cd77a015555de	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Betaproteobacteriales	D_4__Burkholderiaceae    unassigned      unassigned
eed7b8a75eef51b1f55921ecdc9b6b5f	D_0__Bacteria    unassigned      unassigned      unassigned      unassigned	unassigned	unassigned
f9a9d44314304ecc002a1e5d959e963a	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Chitinophagales	D_4__Saprospiraceae	D_5__uncultured   unassigned
fbe17433810987a0ef6eb3727b3db8b9	D_0__Bacteria	D_1__Firmicutes	D_2__Clostridia	D_3__Clostridiales	D_4__Lachnospiraceae	D_5__Epulopiscium	D_6__Epulopiscium
