FeatureID	Kingdom   Phylum  Class   Order   Family  Genus   Species
00c454f86474bd095d3004d9660a94cb	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Sphingomonadales	D_4__Sphingomonadaceae	D_5__Sphingomonas   unassigned
00ca8857025a185eb0550606c05fe139	D_0__Bacteria	D_1__Planctomycetes	D_2__Planctomycetacia	D_3__Pirellulales	D_4__Pirellulaceae	D_5__Rhodopirellula   unassigned
00cc0f0e3e1159b2d531d04cba26b602	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhizobiales	D_4__Rhizobiaceae	D_5__Cohaesibacter	D_6__uncultured
00d1d58cf8300beab90eec17fceeff06	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rickettsiales	D_4__Mitochondria	D_5__museum   unassigned
00dcebf9e9da0db66bcadc981cd81ea1	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Cytophagales	D_4__Spirosomaceae	D_5__Dyadobacter   unassigned
00ded795b3a1d2cf8e9c315fb621b5d0	D_0__Bacteria	D_1__Firmicutes	D_2__Clostridia	D_3__Clostridiales	D_4__Clostridiaceae    unassigned      unassigned
00e0deef7d2a6cedc4c9c7a121f09a19	D_0__Bacteria	D_1__Cyanobacteria	D_2__Oxyphotobacteria	D_3__Chloroplast	D_4__Prasinoderma    unassigned      unassigned
00e5f48600b4accc53a8921efd467391	D_0__Bacteria	D_1__Cyanobacteria	D_2__Oxyphotobacteria	D_3__Chloroplast    unassigned      unassigned      unassigned
00ecb8cddd6abce3e0f35fc74936c4d0	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rickettsiales	D_4__Mitochondria	D_5__Choreocolax   unassigned
00f38ca20dc0ee5bee802c2a32791312	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Cytophagales	D_4__Amoebophilaceae	D_5__Candidatus   unassigned
00f8cfa41ed4b509b599f6fe70581f89	D_0__Bacteria	D_1__Chlamydiae	D_2__Chlamydiae	D_3__Chlamydiales	D_4__Simkaniaceae    unassigned      unassigned
00fa6b087844e7ca079d61d97421b300	D_0__Bacteria    unassigned      unassigned      unassigned      unassigned	unassigned	unassigned
00fa6ba3b3883b3bc4f0585bad37ca36	D_0__Bacteria	D_1__Planctomycetes	D_2__Planctomycetacia	D_3__Pirellulales	D_4__Pirellulaceae	D_5__Pir4   unassigned
00fc63a5cb6ed063c79d4f7508d04637	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rickettsiales	D_4__Mitochondria	D_5__Choreocolax   unassigned
01011d51febbaa741e130e129bc9ff20	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__BD7-8    unassigned      unassigned      unassigned
01047c667f12e40cb8a080bbdbeaeab4	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Vibrionales	D_4__Vibrionaceae    unassigned      unassigned
010a3ba32ad2b4f111ec7510082381ea	D_0__Bacteria	D_1__Cyanobacteria	D_2__Oxyphotobacteria	D_3__Synechococcales	D_4__Cyanobiaceae	D_5__Synechococcus   unassigned
010f42e354b6e68b619b3fed58967cf6	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Cellvibrionales	D_4__Halieaceae	D_5__Congregibacter   unassigned
0118a339c07552cb521842b9119dff75	D_0__Bacteria	D_1__Firmicutes	D_2__Clostridia	D_3__Clostridiales	D_4__Clostridiaceae    unassigned      unassigned
011cc07cedbb920adadb3a0ba6f0b16d	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Flavobacteriales	D_4__Flavobacteriaceae    unassigned      unassigned
0121700c226593327df7e9477320e487	D_0__Bacteria	D_1__Planctomycetes	D_2__Planctomycetacia	D_3__Planctomycetales	D_4__Gimesiaceae	D_5__uncultured	D_6__uncultured
012c5d12dcb8fc414cd3777353314044	D_0__Eukaryota	D_1__SAR	D_2__Alveolata	D_3__Apicomplexa	D_6__Eugregarinorida	D_7__Lankesteria   unassigned
01435c2284ac38ecc0ec7e225e045a60	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhodovibrionales	D_4__Kiloniellaceae	D_5__Pelagibius   unassigned
014a5e905869c5072022614602791fc1	D_0__Bacteria	D_1__Tenericutes	D_2__Mollicutes	D_3__Mollicutes    unassigned      unassigned      unassigned
014b9455e970f79d50f0e7d16c4d488a	D_0__Eukaryota	D_1__Archaeplastida	D_2__Chloroplastida	D_3__Chlorophyta	D_4__Ulvophyceae	D_5__Smithsoniella   unassigned
0155946be7613abe396024fd02ea6dab	D_0__Bacteria	D_1__Acidobacteria	D_2__AT-s3-28	D_3__uncultured    unassigned      unassigned      unassigned
015bf4caa9688eadac14112395b4180e	D_0__Eukaryota	D_1__SAR	D_2__Alveolata	D_3__Apicomplexa	D_6__Eugregarinorida	D_7__Lankesteria	D_8__Gregarinidae
015fc83644d73b8d49e019ed86c69a66	D_0__Bacteria	D_1__Cyanobacteria	D_2__Oxyphotobacteria	D_3__Nostocales	D_4__Phormidiaceae    unassigned      unassigned
016a247a814e9ab80835b7bc1184ddf0	D_0__Bacteria	D_1__Planctomycetes	D_2__Planctomycetacia	D_3__Pirellulales	D_4__Pirellulaceae	D_5__Blastopirellula	D_6__uncultured
016b3331a9c86b7be07c7eabdd90f25e	D_0__Bacteria	D_1__Planctomycetes	D_2__Pla3    unassigned      unassigned      unassigned      unassigned
016cb3f650b20c3b3089ce1340b42dfc	D_0__Bacteria	D_1__Cyanobacteria	D_2__Melainabacteria	D_3__Caenarcaniphilales	D_4__uncultured    unassigned      unassigned
0173b51c90b0813ba512e2509bd63add	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Bacteroidales	D_4__Rikenellaceae	D_5__Rikenella	D_6__Gadus
0179779c9b5e35685a78e13cc56ad78a	D_0__Bacteria	D_1__Tenericutes	D_2__Mollicutes	D_3__Mollicutes    unassigned      unassigned      unassigned
01820b75df4ddfcd7fd733c2ec90b3dd	D_0__Eukaryota	D_1__SAR	D_2__Stramenopiles	D_3__Ochrophyta    unassigned      unassigned      unassigned
0184e1fbbe891c716b84289434006e46	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Sphingomonadales	D_4__Sphingomonadaceae	D_5__Altererythrobacter   unassigned
01936a5b52a2e304bd1976bbb2dea8c8	Unassigned    unassigned      unassigned      unassigned      unassigned	unassigned	unassigned
01938d056cb1a72f658c593ebbeb83f2	D_0__Bacteria	D_1__Planctomycetes	D_2__Planctomycetacia	D_3__Pirellulales	D_4__Pirellulaceae	D_5__Rhodopirellula	D_6__bacterium
0196bb7bdf9da60688c295e9fafdf3e1	D_0__Bacteria	D_1__Planctomycetes	D_2__Planctomycetacia	D_3__Pirellulales	D_4__Pirellulaceae	D_5__Rhodopirellula	D_6__planctomycete
01a46463d774a490f0a6a935683e3f12	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Cellvibrionales	D_4__Halieaceae	D_5__uncultured   unassigned
01a53bc68939321db1c7ba18f179a7cf	D_0__Bacteria	D_1__Planctomycetes	D_2__Planctomycetacia	D_3__Planctomycetales	D_4__Rubinisphaeraceae	D_5__Rubinisphaera   unassigned
01a7c293c14ae183722e0d514be24126	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhizobiales	D_4__Methyloligellaceae	D_5__Methyloceanibacter   unassigned
01a872f97e8d54a625c6055b8419818f	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Gammaproteobacteria    unassigned      unassigned      unassigned
01a8a17305263c670ddcbe416edf1216	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhodobacterales	D_4__Rhodobacteraceae    unassigned      unassigned
01a951b879563da128b1e530b7151f3b	D_0__Bacteria    unassigned      unassigned      unassigned      unassigned	unassigned	unassigned
01abb2e633c471b63e4769c393f7f261	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Oceanospirillales	D_4__Halomonadaceae	D_5__Halomonas   unassigned
01b1b1c4e4beb1816015ed48badca3d8	D_0__Bacteria	D_1__Cyanobacteria	D_2__Oxyphotobacteria	D_3__Chloroplast    unassigned      unassigned      unassigned
01b1f99ae7854ce5a1f1a70d66aeb205	D_0__Bacteria	D_1__Cyanobacteria	D_2__Oxyphotobacteria	D_3__Chloroplast	D_4__Eimeria    unassigned      unassigned
01b88140cba31b6c3c0077787ca5eabf	D_0__Bacteria	D_1__Cyanobacteria	D_2__Oxyphotobacteria	D_3__Chloroplast    unassigned      unassigned      unassigned
01c4fd36b1bc6f11414bbdcd6b337b0a	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rickettsiales	D_4__uncultured	D_5__uncultured   unassigned
01d20e928c36fbd9a49734ef5e044f50	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rickettsiales	D_4__Mitochondria    unassigned      unassigned
01e1327c7cb3f21eac286d99a7547ca4	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Sphingomonadales	D_4__Sphingomonadaceae	D_5__Novosphingobium   unassigned
01e43adc768be4b5be89685b87cd4695	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Pseudomonadales	D_4__Moraxellaceae	D_5__Acinetobacter   unassigned
01eb5b9e679dac31fcecffdc4004d253	D_0__Bacteria	D_1__Dependentiae	D_2__Babeliae	D_3__Babeliales	D_4__UBA12409    unassigned      unassigned
01ec41d2770ab1b28e00a8a28379cd8f	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhodospirillales	D_4__Rhodopirillaceae	D_5__Defluviicoccus	D_6__uncultured
01f29beb42debb03c7cd852f6be85eb1	D_0__Bacteria	D_1__Proteobacteria	D_2__Deltaproteobacteria	D_3__Desulfobacterales	D_4__Desulfobulbaceae	D_5__uncultured   unassigned
01ffe5ecbab970e8a411899bac4b9e09	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Cytophagales	D_4__Amoebophilaceae	D_5__uncultured	D_6__uncultured
0209a8cec65f0e78e716528866df01c1	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhizobiales	D_4__Rhizobiaceae    unassigned      unassigned
020a7cfbbc079ba5862b2bb6a7071afb	D_0__Bacteria	D_1__Actinobacteria	D_2__Acidimicrobiia	D_3__Microtrichales	D_4__Microtrichaceae	D_5__uncultured	D_6__metagenome
020e0f0a8dc214adb4c36c79f29e1a86	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rickettsiales	D_4__Mitochondria	D_5__Fucus   unassigned
02102d34a4b8539b74a5f816a6ec8a0a	D_0__Eukaryota	D_1__Archaeplastida	D_2__Chloroplastida	D_3__Chlorophyta    unassigned      unassigned      unassigned
021397307b7af70ca4903129889d82d8	D_0__Bacteria	D_1__Planctomycetes	D_2__Planctomycetacia	D_3__Pirellulales	D_4__Pirellulaceae	D_5__Bythopirellula	D_6__uncultured
021849f977d82293d7e24af7e0654524	D_0__Bacteria	D_1__Cyanobacteria	D_2__Oxyphotobacteria	D_3__Chloroplast	D_4__Prasinoderma    unassigned      unassigned
